inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20
1,20,2,2,-1,5,2,1422.821002960205,4.80687707053785,3.0903851985931396,4.94624194019114,7.669441223144531,4.9432234427306625,7.6696457862854,4.9432234427306625,17.740880250930786,4.937275188298154,30.01185655593872,4.868236736449334,33.11407136917114,4.8557641956587965,71.00871443748474,4.852722870960292,77.60070896148682,4.85272283964312,99.49289155006409,4.838652179716494,155.36508440971375,4.80687707053785,,,,,,,,,,,,,,,,,,,,
2,20,2,2,-1,5,2,1800.1034679412842,4.747996826312935,3.4277241230010986,4.747997322331977,13.724283218383789,4.747997322331977,109.02830672264099,4.747996826312935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,2,2,-1,5,2,1800.9999523162842,4.707017749802622,5.506678819656372,4.7127056740780855,9.875691652297974,4.7127056740780855,508.47407937049866,4.709053562447212,553.7411043643951,4.707017749802622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,2,2,-1,5,2,1800.7192521095276,4.911673574304101,12.166758060455322,4.9116739414779635,25.336783170700073,4.9116739414779635,465.76064467430115,4.911673574304101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,2,2,-1,5,2,1800.2705557346344,4.741703621460589,2.532444953918457,4.74170417658593,5.646539926528931,4.74170417658593,33.62684082984924,4.741704002933124,41.56064581871033,4.741703855965306,209.03067111968994,4.741703733578358,698.4253027439117,4.741703621460589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,2,2,-1,5,2,1800.1999423503876,4.5987495494727995,8.958191394805908,4.5987500694104595,13.31007194519043,4.5987500694104595,93.37023544311523,4.598749913059148,210.54569101333618,4.5987495494727995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,2,2,-1,5,2,1800.1614019870758,4.726795643682053,8.704880714416504,4.822939488261465,16.76544690132141,4.822939488261465,24.708828449249268,4.732472143962109,469.58579874038696,4.726795643682053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,2,2,-1,5,2,1800.015858888626,4.5087435337516375,7.752586841583252,4.631609344603223,16.89523220062256,4.631609344603223,27.718536615371704,4.626480254206556,42.11448001861572,4.56778938291652,122.93622469902039,4.512395900014815,302.1559855937958,4.5087435337516375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20,2,2,-1,5,2,1800.386391401291,4.622158105092261,17.89577555656433,4.647831199580586,36.49410796165466,4.647831199580586,112.54956817626953,4.622158105092261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,2,2,-1,5,2,1800.1723816394806,4.641283595936118,3.9576900005340576,4.641283913559535,7.380176067352295,4.641283913559535,124.46738052368164,4.6412836838061935,545.0165469646454,4.641283595936118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20,2,2,-1,5,2,1800.2172350883484,4.756883655305092,3.762850046157837,4.756884232536672,7.0842297077178955,4.756884232536672,207.80317497253418,4.756883990494355,666.0744059085846,4.756883655305092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,2,2,-1,5,2,1800.3426351547241,5.100952752913913,7.0344014167785645,5.225163745272408,18.054418802261353,5.205600896498745,18.05460000038147,5.205600896498745,114.3947389125824,5.189110467932283,124.47813081741333,5.129379233907054,257.308616399765,5.100977725476838,339.0940589904785,5.100952752913913,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,2,2,-1,5,2,1800.3495965003967,4.515396432732602,7.0411741733551025,4.58435970389021,16.822012662887573,4.58435970389021,28.987537622451782,4.515396432732602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
