inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20
1,20,3,3,5,5,2,1800.2714729309082,4.691252392342491,1.9720544815063477,4.844122089708383,4.21159291267395,4.755909147748442,4.211677312850952,4.755909147748442,11.960110425949097,4.740014013521248,30.464750289916992,4.7271839829250535,38.641340255737305,4.713379833715127,136.61325979232788,4.705269153151095,389.9934928417206,4.691252392342491,,,,,,,,,,,,,,,,,,,,,,,,
2,20,3,3,5,5,2,1800.3167526721954,4.482907246069431,18.1332049369812,4.747997322331977,26.53403353691101,4.747997322331977,32.70517945289612,4.629671201141903,73.37276530265808,4.549494285048815,156.12203931808472,4.520321319013152,579.1357703208923,4.510463358041046,604.3332531452179,4.482907246069431,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,3,3,5,5,2,1800.0769426822662,4.502684264049819,2.474165439605713,4.577466722132893,6.508362293243408,4.542270507745563,6.508450746536255,4.542270507745563,14.801570892333984,4.515801058785661,39.13572311401367,4.502684264049819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,3,3,5,5,2,1800.0037505626678,4.680447178729356,17.95866346359253,4.787399069305756,30.48866081237793,4.787399069305756,62.245445728302,4.771266407425904,66.62022948265076,4.7591740749605655,134.59298992156982,4.750703441667244,315.86266827583313,4.699909970002677,718.4610412120819,4.693931390438138,938.5362341403961,4.680447178729356,,,,,,,,,,,,,,,,,,,,,,,,
5,20,3,3,5,5,2,1800.464105129242,4.574108217426545,2.8164234161376953,4.74170417658593,4.69291353225708,4.74170417658593,9.865242719650269,4.697580637030619,25.96028995513916,4.686637699605181,28.60329842567444,4.6753603935229355,32.39549803733826,4.674816529672675,35.06392455101013,4.586239371204755,202.094970703125,4.583075411899815,485.3025403022766,4.574108217426545,,,,,,,,,,,,,,,,,,,,,,
6,20,3,3,5,5,2,1800.025015592575,4.486450560433329,8.757153034210205,4.5910158085860004,21.407387495040894,4.5910158085860004,31.6802499294281,4.578630364575455,127.28409957885742,4.544142724498067,153.155823469162,4.5284685240752856,174.73141264915466,4.524890554393025,179.30368375778198,4.51104548915872,519.72687292099,4.504412145297792,696.7707045078278,4.486450560433329,,,,,,,,,,,,,,,,,,,,,,
7,20,3,3,5,5,2,1800.3739292621613,4.4997230575104155,8.00076699256897,4.791774445677782,10.612359046936035,4.738683298961236,10.612444162368774,4.738683298961236,18.36851167678833,4.718075275295893,56.12200379371643,4.655328260216315,59.897483587265015,4.616922747789115,62.41738533973694,4.581132550168475,67.24462604522705,4.5449589426254215,186.6403727531433,4.508587647762534,519.4097943305969,4.4997230575104155,,,,,,,,,,,,,,,,,,,,
8,20,3,3,5,5,2,1800.4938883781433,4.253466630834507,3.7437520027160645,4.50961159582771,13.656500816345215,4.50961159582771,21.888197660446167,4.435037864584922,23.13517475128174,4.375435012083745,102.56382703781128,4.272486640691097,928.9829461574554,4.2549605508438235,1198.6759994029999,4.253466728997938,1701.9395232200623,4.253466630834507,,,,,,,,,,,,,,,,,,,,,,,,
9,20,3,3,5,5,2,1800.603587627411,4.331667964748164,11.462177515029907,4.494218344722261,21.766306400299072,4.440583281996752,21.766390800476074,4.440583281996752,26.234212160110474,4.331667964748164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,3,3,5,5,2,1800.0633070468903,4.583838794172625,4.4478983879089355,4.641283913559535,10.799529790878296,4.641283913559535,59.995707988739014,4.637570077106032,188.0895357131958,4.619923888640374,1247.4853525161743,4.5956501375620675,1255.1892352104187,4.583838794172625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20,3,3,5,5,2,1800.2856891155243,4.657181554091425,2.8568367958068848,4.756884232536672,7.1766839027404785,4.756884232536672,16.699574947357178,4.7540970709421675,21.135480642318726,4.753664766515749,134.57564330101013,4.750641221808827,292.21593022346497,4.6729149379473185,847.4180157184601,4.657181554091425,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,3,3,5,5,2,1800.4657039642334,4.860529200588129,5.238812446594238,4.8910244286788,9.506653547286987,4.860529200588129,9.506742000579834,4.860529200588129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,3,3,5,5,2,1800.315626859665,4.245077546995358,10.067770957946777,4.504806153431241,11.539557695388794,4.335333799159527,11.539655208587646,4.335333799159527,17.755915641784668,4.319628355358073,54.19030213356018,4.248391907237115,279.041090965271,4.245400996330166,697.4459969997406,4.245077546995358,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,3,3,5,5,2,1800.5274639129639,4.661106626528062,9.393777847290039,4.661107351823702,19.633093118667603,4.661107351823702,147.24417996406555,4.661107080746994,740.743497133255,4.661107051393157,761.210081577301,4.661106626528062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,3,3,5,5,2,1800.0489740371704,4.201123234521268,14.585006713867188,4.341022140662144,24.148487091064453,4.341022140662144,26.600879907608032,4.203265688094133,267.76048517227173,4.201393629081611,1311.358302116394,4.201123234521268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,3,3,5,5,2,1800.5495865345001,4.482090632697671,8.33553671836853,4.643986600379907,16.353618383407593,4.589483799429839,16.353702545166016,4.589483799429839,33.571160078048706,4.5001367001216215,97.60877966880798,4.4929780900528575,459.8678343296051,4.488036537591352,1625.3322982788086,4.482090632697671,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,3,3,5,5,2,1800.248108625412,4.341070771448273,1.2965891361236572,4.396605169821228,5.197939872741699,4.396605169821228,23.22089958190918,4.395967710775353,198.0965940952301,4.341070771448273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20,3,3,5,5,2,1800.241102218628,4.578011981003812,1.5469820499420166,4.675256662821853,4.635759115219116,4.675256662821853,46.50660490989685,4.675256622270282,54.48276424407959,4.647438476000846,1686.5635976791382,4.6361910976402925,1739.231320142746,4.578011981003812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,3,3,5,5,2,1800.475864648819,4.655699696564717,5.516080141067505,4.6636218588797504,7.188492774963379,4.6636218588797504,36.833224296569824,4.663621806149661,211.87578058242798,4.663621650325375,245.0328187942505,4.656398149114449,1027.1824598312378,4.655699696564717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,3,3,5,5,2,1800.01567029953,4.493929186566206,0.8674871921539307,4.4939325130256655,1.5189557075500488,4.4939325130256655,63.734187841415405,4.493932314114268,111.33546733856201,4.493932286568056,152.10677552223206,4.493929186566206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,3,3,5,5,2,1800.0293555259705,4.446022727471973,1.7696223258972168,4.6328287944361985,10.592342138290405,4.6328287944361985,19.54219889640808,4.475026923022954,44.49848985671997,4.463755173641451,420.2197663784027,4.463754691876106,679.4202806949615,4.446022727471973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20,3,3,5,5,2,1800.3645741939545,4.265042995668408,8.92751932144165,4.394649133434845,31.41592240333557,4.351457538108589,31.416009187698364,4.351457538108589,82.13366484642029,4.33151464312135,100.28357601165771,4.328129681745947,120.9339873790741,4.275981272607022,477.34037709236145,4.265042995668408,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,3,3,5,5,2,1800.1111028194427,4.2569109659484985,1.6645457744598389,4.466819551182363,5.0360307693481445,4.464164784679612,5.036114454269409,4.464164784679612,9.40309476852417,4.3461168102292085,40.31320405006409,4.2773407638637515,65.88765454292297,4.267145038880998,118.86626958847046,4.25933864471936,1311.5074274539948,4.2569109659484985,,,,,,,,,,,,,,,,,,,,,,,,
24,20,3,3,5,5,2,1800.0092823505402,4.272614341529694,18.513983011245728,4.382301765609435,38.84817314147949,4.382301765609435,54.92868757247925,4.370546855963508,57.627705335617065,4.278623804918908,1275.8684599399567,4.272614341529694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20,3,3,5,5,2,1800.0802683830261,4.365237682447848,1.70672607421875,4.475853287417459,3.3080172538757324,4.475853287417459,5.793460845947266,4.40945322357922,9.594864130020142,4.36674141931254,518.2877342700958,4.366523275496334,807.6958312988281,4.365237682447848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20,3,3,5,5,2,1800.0431816577911,4.403901275076757,4.797449827194214,4.564129660235739,10.06316590309143,4.533168161766399,10.063251495361328,4.533168161766399,22.253984212875366,4.526850636411908,23.916347980499268,4.50037240535891,42.80375909805298,4.478415296042205,448.8681697845459,4.469620918051184,678.3895931243896,4.443304769326992,886.4829075336456,4.403901275076757,,,,,,,,,,,,,,,,,,,,,,
27,20,3,3,5,5,2,1800.2410235404968,4.427992110526072,1.92684006690979,4.427992457360047,9.08163070678711,4.427992457360047,63.60511136054993,4.427992217166629,324.6264457702637,4.427992185011465,551.5846793651581,4.427992110526072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20,3,3,5,5,2,1800.2617919445038,4.655853559947304,16.12355899810791,4.736466967389964,29.478882551193237,4.736466967389964,114.08332371711731,4.696806390287214,267.8116080760956,4.688649745890949,509.00498270988464,4.6641353953993985,1020.4447541236877,4.655853559947304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20,3,3,5,5,2,1800.3648347854614,4.68316560304077,3.195066452026367,4.856124397382689,7.491246700286865,4.856124397382689,11.488314151763916,4.7518851171741865,39.402180433273315,4.709059163025351,115.64350080490112,4.69099694742363,381.4103226661682,4.68316560304077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20,3,3,5,5,2,1800.0511140823364,4.36275920750888,3.315161943435669,4.561813650389858,5.572190999984741,4.409187907566751,5.572273015975952,4.409187907566751,206.519389629364,4.380760609765804,431.1838073730469,4.36275920750888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20,3,3,5,5,2,1800.0826222896576,4.394376726522751,4.566761493682861,4.463106005094676,31.902921438217163,4.463106005094676,199.74527072906494,4.439208992056608,251.77593779563904,4.431353044922589,307.3410346508026,4.4066559330412804,1771.1694247722626,4.394376726522751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20,3,3,5,5,2,1800.0530109405518,4.446068128368003,1.2030301094055176,4.447326622993278,3.5794577598571777,4.447326622993278,150.8008327484131,4.446068128368003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20,3,3,5,5,2,1800.2573091983795,4.441572126879242,6.144282102584839,4.6047227864754685,13.81039571762085,4.6047227864754685,22.3029465675354,4.561881036320069,87.0149233341217,4.54648511796945,109.42753529548645,4.538946918354026,139.05092787742615,4.50322905070834,413.0016405582428,4.441572126879242,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20,3,3,5,5,2,1800.3291010856628,4.243404833063649,7.236101150512695,4.35398255917862,14.325475454330444,4.3461574587754015,14.325560808181763,4.3461574587754015,54.480485916137695,4.2830817264939425,352.50252747535706,4.282029539739222,403.35651540756226,4.259974912495523,749.8709850311279,4.247636124414708,1157.6723911762238,4.244253316209603,1238.1502952575684,4.243404833063649,,,,,,,,,,,,,,,,,,,,,,
35,20,3,3,5,5,2,1800.175526380539,4.603417484331966,6.564774990081787,4.753059484708116,9.857866764068604,4.675643012859401,9.857950687408447,4.675643012859401,13.431010484695435,4.616451436226977,17.8497576713562,4.6133404464759025,40.711092472076416,4.603417484331966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20,3,3,5,5,2,1800.108909368515,4.298813231744894,15.62876296043396,4.3926995577003,19.466617345809937,4.3926995577003,29.939273357391357,4.3381300641021285,847.384908914566,4.298813231744894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20,3,3,5,5,2,1800.3095886707306,4.299363890653685,1.4406208992004395,4.4158978313689445,12.252458572387695,4.4158978313689445,27.012512683868408,4.353262886535839,33.93287372589111,4.330061952419244,230.34777402877808,4.323664010620886,265.29104471206665,4.319785719797642,319.4309368133545,4.317915747354447,383.0250289440155,4.3147268446991065,884.8808386325836,4.305292620935353,1410.0335676670074,4.299363890653685,,,,,,,,,,,,,,,,,,,,
