inst,N,gamma,c,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12
1,100,5.0,5.0,4,0.28540492057800293,2054.1417188957876,0.28536081314086914,2054.1417188957876,,,,,,,,,,,,,,,,,,,,,,
2,100,5.0,5.0,4,0.3191642761230469,2246.6009289649437,0.3191232681274414,2246.6009289649437,,,,,,,,,,,,,,,,,,,,,,
3,100,5.0,5.0,4,0.1763148307800293,1982.4224025590793,0.17627215385437012,1982.4224025590793,,,,,,,,,,,,,,,,,,,,,,
4,100,5.0,5.0,4,151.5809121131897,2015.9813509061062,2.977524995803833,2015.923827465234,5.490503311157227,2015.950702289814,6.75811243057251,2015.9550342469709,7.54049825668335,2015.9813509061062,,,,,,,,,,,,,,,,
5,100,5.0,5.0,4,2.1533000469207764,1863.5154289228878,1.1850273609161377,1863.5154289228878,,,,,,,,,,,,,,,,,,,,,,
6,100,5.0,5.0,4,5.477570533752441,2274.79248024198,2.1135149002075195,2274.79248024198,,,,,,,,,,,,,,,,,,,,,,
7,100,5.0,5.0,4,11.415136814117432,2437.6751308001662,2.9499826431274414,2437.6751308001662,,,,,,,,,,,,,,,,,,,,,,
8,100,5.0,5.0,4,3.24587082862854,2286.37698091857,1.5530493259429932,2286.37698091857,,,,,,,,,,,,,,,,,,,,,,
9,100,5.0,5.0,4,0.1820061206817627,1914.9579090605125,0.18196320533752441,1914.9579090605125,,,,,,,,,,,,,,,,,,,,,,
10,100,5.0,5.0,4,542.1181852817535,1967.7237903838723,3.6488540172576904,1967.6400503206955,5.236979961395264,1967.6495059462356,11.844427108764648,1967.7237903838723,,,,,,,,,,,,,,,,,,
11,100,5.0,5.0,4,2.251403570175171,1982.909353536681,1.1415717601776123,1982.909353536681,,,,,,,,,,,,,,,,,,,,,,
12,100,5.0,5.0,4,0.3287477493286133,2237.7610637171665,0.3287057876586914,2237.7610637171665,,,,,,,,,,,,,,,,,,,,,,
13,100,5.0,5.0,4,0.20799779891967773,2508.956141622251,0.20795011520385742,2508.956141622251,,,,,,,,,,,,,,,,,,,,,,
14,100,5.0,5.0,4,478.2740387916565,2060.4626856491473,2.169111967086792,2060.462684767015,116.84402465820312,2060.4626849731576,163.14625573158264,2060.4626856491473,,,,,,,,,,,,,,,,,,
15,100,5.0,5.0,4,16.960763692855835,2251.020719343144,1.810950756072998,2250.9048196666754,3.352356433868408,2251.0207191179456,9.588373184204102,2251.020719343144,,,,,,,,,,,,,,,,,,
16,100,5.0,5.0,4,451.55252289772034,1723.4527582019841,3.223567008972168,1723.1188229871134,3.7101023197174072,1723.2304323211322,4.844714403152466,1723.4429728882124,12.874773740768433,1723.4527582019841,,,,,,,,,,,,,,,,
1,100,15.0,5.0,4,158.09515976905823,1936.1827223291614,3.420264482498169,1933.1851067044142,10.13061237335205,1934.3474631788174,11.570207357406616,1936.182722135447,154.54413747787476,1936.1827223291614,,,,,,,,,,,,,,,,
2,100,15.0,5.0,4,0.7351725101470947,2126.997560206227,0.7351291179656982,2126.997560206227,,,,,,,,,,,,,,,,,,,,,,
3,100,15.0,5.0,4,1800.3104531764984,1865.0164052702182,1.861279010772705,1865.016405083617,117.94541072845459,1865.0164052702182,,,,,,,,,,,,,,,,,,,,
4,100,15.0,5.0,4,1800.5925483703613,1898.9927499305704,9.074771165847778,1897.1626595686944,19.786751747131348,1897.627441500947,29.341540813446045,1898.0701790353264,54.6821403503418,1898.3586123147652,62.99210548400879,1898.4348663164458,95.40842771530151,1898.6829007373444,155.5427165031433,1898.988570893998,400.6243507862091,1898.9927499305704,,,,,,,,
5,100,15.0,5.0,4,1800.7397260665894,1748.2656287126802,14.590508699417114,1747.1946884433605,18.90469527244568,1747.24481109751,30.0712468624115,1747.3447380059026,58.596306800842285,1747.4490112941046,73.32212018966675,1747.7780469182007,281.5879280567169,1747.8296256727292,418.6416177749634,1748.016245522642,668.9345381259918,1748.2656287126802,,,,,,,,
6,100,15.0,5.0,4,1800.5472674369812,2148.0757792884165,8.778029203414917,2147.6912190111775,150.7558400630951,2147.766361117606,226.68717432022095,2147.980462452154,1143.059105873108,2148.0757792884165,,,,,,,,,,,,,,,,
7,100,15.0,5.0,4,1800.8348598480225,2311.1953883004862,8.460998058319092,2310.322991684513,103.56676936149597,2310.4919189237753,129.93513011932373,2310.9279300141425,161.2180094718933,2311.1614157969216,1211.865623474121,2311.1953883004862,,,,,,,,,,,,,,
8,100,15.0,5.0,4,1800.2198984622955,2162.8828468326824,8.772982358932495,2161.3289966787065,35.192490577697754,2162.8828468326824,,,,,,,,,,,,,,,,,,,,
9,100,15.0,5.0,4,1800.0862412452698,1801.008433522601,69.22907876968384,1797.7153024860122,86.10815739631653,1800.4891962461058,194.3786153793335,1800.6718813991097,305.90915989875793,1800.8205113820015,494.0207796096802,1801.008433522601,,,,,,,,,,,,,,
10,100,15.0,5.0,4,1800.799987077713,1854.4945543386123,12.43090534210205,1850.307890756079,16.52310276031494,1852.4751368853533,31.59609627723694,1853.2265837427587,74.87739610671997,1854.2109883067646,321.4835731983185,1854.2820419913976,456.0562641620636,1854.2953837359664,777.4604108333588,1854.4945543386123,,,,,,,,,,
11,100,15.0,5.0,4,1800.5145645141602,1867.0452349842867,2.993481159210205,1866.3370664321458,6.331183910369873,1866.6872069405172,22.780155181884766,1867.0452349842867,,,,,,,,,,,,,,,,,,
