inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18
47,20,6,6,-1,5,2,1800.3262889385223,4.284639330999774,0.9888110160827637,4.373094852761489,1.9046034812927246,4.3079148301619705,1.9046950340270996,4.3079148301619705,37.216275453567505,4.285635223779264,1014.7019093036652,4.284639330999774,,,,,,,,,,,,,,,,,,,,,,,,,,
48,20,6,6,-1,5,2,1800.0287809371948,4.266186920694916,3.343640089035034,4.351760324998264,11.209871292114258,4.351760324998264,24.933213472366333,4.307033985579355,37.60448694229126,4.282262883291498,38.99705505371094,4.270098307420452,274.7101831436157,4.269335913019245,407.5478267669678,4.268392804540434,1279.0478677749634,4.266186920694916,,,,,,,,,,,,,,,,,,,,
49,20,6,6,-1,5,2,1800.2952682971954,4.547975613199548,4.068039417266846,4.745765272730826,6.296074390411377,4.745765272730826,12.204338550567627,4.625187574805209,25.508633852005005,4.585504987761354,48.15086817741394,4.566802031739986,65.79703211784363,4.56052715744394,328.43746042251587,4.558596731826021,356.26324224472046,4.557443512335638,466.0715186595917,4.555697627555065,593.8753297328949,4.5547670580888076,1138.1913826465607,4.547975613199548,,,,,,,,,,,,,,
50,20,6,6,-1,5,2,1800.195255279541,4.229319355864089,2.1539649963378906,4.2902155577743075,3.9242265224456787,4.26359507992299,3.924323081970215,4.26359507992299,21.771477699279785,4.255128141879789,115.90689301490784,4.230982274628649,177.54316663742065,4.230318855576428,243.53707695007324,4.229319355864089,,,,,,,,,,,,,,,,,,,,,,
51,20,6,6,-1,5,2,1800.191435098648,4.141255194573975,1.2001514434814453,4.226992008224442,2.189486026763916,4.226992008224442,5.129816293716431,4.141380774920171,19.26814889907837,4.141255194573975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20,6,6,-1,5,2,1800.0902523994446,4.075611095247304,4.798588514328003,4.1555952533875935,5.923304557800293,4.1555952533875935,30.423813343048096,4.118025787948709,111.92723774909973,4.082450972403121,578.4439001083374,4.078170547350475,593.8739106655121,4.077563777829387,1388.9363737106323,4.077077516127586,1589.8585567474365,4.075611095247304,,,,,,,,,,,,,,,,,,,,
53,20,6,6,-1,5,2,1800.2204627990723,4.3413752418736475,6.152147531509399,4.517928154463256,13.203853845596313,4.4501906933104864,13.203948497772217,4.4501906933104864,20.18575167655945,4.41146690311145,26.611619472503662,4.402616018932875,148.84630918502808,4.373999800176193,157.74091053009033,4.359395425130714,1094.40163064003,4.3413752418736475,,,,,,,,,,,,,,,,,,,,
54,20,6,6,-1,5,2,1800.0095736980438,4.165364230031171,4.765100479125977,4.372997608587672,9.777627944946289,4.340715986765546,9.777725458145142,4.340715986765546,21.572628498077393,4.332133778615846,25.565210342407227,4.243022165009972,33.11291313171387,4.237672498454432,93.1122055053711,4.2328346281956355,102.20903134346008,4.229523623721207,105.9298779964447,4.229285006690981,117.03723526000977,4.224440378478055,156.75633239746094,4.1844042781919555,591.0978760719299,4.175517166123454,1138.1129834651947,4.165364230031171,,,,,,,,,,
55,20,6,6,-1,5,2,1800.2636725902557,4.123234922810587,9.484113931655884,4.233078841283074,37.80124855041504,4.233078841283074,43.36492085456848,4.227600614655817,79.46864485740662,4.209721945959732,123.41500043869019,4.167921665929816,144.34710907936096,4.123234922810587,,,,,,,,,,,,,,,,,,,,,,,,
56,20,6,6,-1,5,2,1800.2595207691193,4.2140555967544895,1.5812478065490723,4.330529115216276,3.7667503356933594,4.292638373201488,3.766842842102051,4.292638373201488,7.377330541610718,4.219827253699497,210.79822897911072,4.218735006257582,242.7562267780304,4.2140555967544895,,,,,,,,,,,,,,,,,,,,,,,,
57,20,6,6,-1,5,2,1800.1432642936707,4.392533107747209,0.716609001159668,4.431683218069872,1.5636601448059082,4.431683218069872,9.670650720596313,4.410340265824246,14.192071676254272,4.409314032112523,32.62260842323303,4.407367344097928,32.89887070655823,4.402213868569331,35.08577561378479,4.393099982356698,36.1049108505249,4.392544116021012,503.54253101348877,4.3925440837256104,727.198478937149,4.392533107747209,,,,,,,,,,,,,,,,
58,20,6,6,-1,5,2,1800.1961715221405,4.037430749487048,2.222722291946411,4.257976142251443,3.2294678688049316,4.257976142251443,7.038428544998169,4.251531589123672,9.441609382629395,4.122358789056996,32.53586745262146,4.120475085069671,32.99712514877319,4.100196492398702,67.62792992591858,4.045094250994956,130.2632167339325,4.038582615457391,211.15777158737183,4.037430749487048,,,,,,,,,,,,,,,,,,
59,20,6,6,-1,5,2,1800.217252254486,4.247853176164188,0.8571956157684326,4.290654553034418,1.8431174755096436,4.290654553034418,9.99122142791748,4.252863520470311,274.22760939598083,4.247943629983234,1173.3958344459534,4.247853176164188,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20,6,6,-1,5,2,1800.1907711029053,4.26803619564812,4.943901538848877,4.431441131848993,8.403923034667969,4.40587102097387,8.404019594192505,4.40587102097387,14.056711196899414,4.341794757539509,14.917359113693237,4.330203816100205,52.97962236404419,4.313124695940029,75.67143559455872,4.304639432960268,120.84715557098389,4.304516046379391,240.05364799499512,4.2847499945626755,306.52615571022034,4.270264547619291,462.5006835460663,4.26803619564812,,,,,,,,,,,,,,
61,20,6,6,-1,5,2,1800.182331085205,4.315919560865864,7.214188814163208,4.485628782751167,13.824783325195312,4.425868419140211,13.824897766113281,4.425868419140211,26.224129915237427,4.383856244613297,60.030298948287964,4.337631234036376,245.0929114818573,4.333128045283403,317.2642068862915,4.330952971494557,399.1830849647522,4.319592962970554,403.4903998374939,4.316910690286883,1152.0062251091003,4.315919560865864,,,,,,,,,,,,,,,,
62,20,6,6,-1,5,2,1800.0381016731262,4.446360052780864,1.891845941543579,4.514801850264321,4.8731324672698975,4.514801850264321,115.3417432308197,4.488339236271829,247.65585947036743,4.477063083703996,303.97597432136536,4.464446419703084,397.01974630355835,4.46039897757521,485.4448742866516,4.446360052780864,,,,,,,,,,,,,,,,,,,,,,
