inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15
85,20,2,1800.4114558696747,4.613856530461869,43.04412913322449,4.702596926056168,59.137638092041016,4.695282200861793,170.68943691253662,4.672180863702471,306.580153465271,4.66228345855064,345.51304507255554,4.656693224413537,457.15225887298584,4.62891483481311,637.2169740200043,4.6263707737966175,850.3071920871735,4.613856530461869,,,,,,,,,,,,,,
86,20,2,1800.4987978935242,4.606097337129244,13.174680709838867,4.6776372657892376,37.4648711681366,4.677506849837103,47.791125535964966,4.675777989276293,51.12873697280884,4.66608545547964,68.8382294178009,4.649627167036613,144.77639889717102,4.627202551722015,232.16468691825867,4.626689144956641,398.0593309402466,4.621823873681855,419.3487846851349,4.609996857699727,423.59087920188904,4.606097337129244,,,,,,,,,,
87,20,2,1800.0315778255463,4.685522181430892,2.8566040992736816,4.692841636021698,310.95308685302734,4.685522181430892,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20,2,262.695609331131,4.438573011089385,1.2998669147491455,4.43857320858055,36.51305341720581,4.43857310958459,70.49510717391968,4.438573011089385,,,,,,,,,,,,,,,,,,,,,,,,
89,20,2,1800.1008021831512,5.03921208528876,17.415088891983032,5.231906656997339,21.869972467422485,5.211881542898368,26.750206232070923,5.142712414597025,32.44111633300781,5.105565856113776,49.30106806755066,5.091222607604882,149.48924279212952,5.059338956076118,249.37332940101624,5.03921208528876,,,,,,,,,,,,,,,,
90,20,2,1800.0767059326172,4.7273682554092495,10.842791080474854,4.757179761161017,183.33609771728516,4.757179431118096,1033.9626212120056,4.757179226017657,1463.1385707855225,4.7273682554092495,,,,,,,,,,,,,,,,,,,,,,
91,20,2,1800.0790815353394,4.530577654055647,3.3958065509796143,4.530578215342201,260.3017101287842,4.530578056732642,546.9051334857941,4.530578019561784,582.1823267936707,4.530577970966304,1174.2106411457062,4.530577933557986,1330.2530970573425,4.530577654055647,,,,,,,,,,,,,,,,,,
92,20,2,1800.1057450771332,4.682536901246825,7.3847129344940186,4.682537322941698,308.6963195800781,4.682537094436535,851.2386639118195,4.682536901246825,,,,,,,,,,,,,,,,,,,,,,,,
93,20,2,1800.1010954380035,4.80688503904857,7.578171730041504,4.9119070024092455,20.42743492126465,4.874066606962293,21.240710496902466,4.810426711532719,460.53303027153015,4.80688503904857,,,,,,,,,,,,,,,,,,,,,,
94,20,2,1800.1049926280975,4.677777310089717,14.292078256607056,4.677777335288657,1770.0917754173279,4.677777310089717,,,,,,,,,,,,,,,,,,,,,,,,,,
95,20,2,1800.0220682621002,4.491714808989064,3.1946117877960205,4.491715244055378,34.664928674697876,4.491715212731968,65.30503988265991,4.491714984046093,1486.0003485679626,4.491714808989064,,,,,,,,,,,,,,,,,,,,,,
96,20,2,1800.2126569747925,4.678028159632262,2.632986068725586,4.706637056416031,12.119315385818481,4.706636571179213,827.6527342796326,4.678028159632262,,,,,,,,,,,,,,,,,,,,,,,,
