inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19
38,20,2,2,-1,5,10,1800.0981001853943,4.68226417189657,7.566833972930908,4.808914448533352,13.027026891708374,4.7068817135439875,13.027216911315918,4.7068817135439875,417.3946342468262,4.68226417189657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20,2,2,-1,5,10,1800.0113501548767,4.454274311427497,5.537878751754761,4.454274893195575,7.521968364715576,4.454274893195575,493.4828794002533,4.454274311427497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20,2,2,-1,5,10,1800.068459033966,4.325107033291955,26.95763063430786,4.52268221616159,38.57038331031799,4.404808259161838,38.57056522369385,4.404808259161838,51.78464603424072,4.390592558954048,400.506863117218,4.358083489599683,755.6145458221436,4.3355514983376136,1043.7136905193329,4.325107033291955,,,,,,,,,,,,,,,,,,,,,,,,
41,20,2,2,-1,5,10,1800.808863401413,4.607261255979099,19.523945093154907,4.607261527215902,37.8062002658844,4.607261527215902,688.1772997379303,4.607261255979099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,20,2,2,-1,5,10,1800.4640717506409,4.466551438046799,7.681655168533325,4.466551821908233,12.896710634231567,4.466551821908233,42.77593469619751,4.466551604707596,300.8283133506775,4.466551482340367,1399.594878435135,4.466551438046799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20,2,2,-1,5,10,1800.4020249843597,4.66702017438124,8.077460289001465,4.728065199189309,21.62064814567566,4.728065199189309,257.91586923599243,4.715588818362236,555.0597105026245,4.66702017438124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20,2,2,-1,5,10,1800.3791618347168,4.714338896133692,2.1976442337036133,4.750167908763067,7.188506126403809,4.750167908763067,121.4908459186554,4.72700661746612,306.03056621551514,4.714338896133692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,20,2,2,-1,5,10,1800.0763206481934,4.7043999499609965,8.06097960472107,4.76478930141748,15.929373025894165,4.76478930141748,1028.701821565628,4.7043999499609965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,20,2,2,-1,5,10,1800.4230906963348,4.500969549747046,7.011964797973633,4.530488640971176,14.481236696243286,4.530488640971176,111.47721076011658,4.526317068867492,272.17716813087463,4.5233261915825675,366.24218916893005,4.51623662820333,458.9686679840088,4.500969549747046,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20,2,2,-1,5,10,1800.1265909671783,4.780743698773376,6.085278511047363,4.84422406762555,12.78475284576416,4.84422406762555,179.01273918151855,4.844223899425836,583.9548890590668,4.780743698773376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
