inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21
24,20,2,1800.2443556785583,16.4616620802611,3.100827932357788,16.60527227162298,58.73342323303223,16.60340404516296,66.87923073768616,16.541758456406967,112.10724925994873,16.4616620802611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20,2,1800.0306770801544,17.508651447053197,34.7068657875061,17.72199757892299,83.28083300590515,17.721995266711293,91.15669441223145,17.641469543064126,99.79322242736816,17.61167643904207,326.5564138889313,17.517555340923177,379.4710011482239,17.508651447053197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20,2,1800.842926979065,21.376343089219674,251.09200263023376,21.543376941895495,555.6920518875122,21.38629505638779,1498.9567415714264,21.376343089219674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,20,2,1800.2490029335022,15.924323533378928,8.538617372512817,15.924324760349293,52.08715772628784,15.924324361697357,350.70755648612976,15.924323533378928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20,2,1800.3995468616486,17.157024496676932,29.24832248687744,17.278758568995944,88.90925407409668,17.27081159096573,107.97361493110657,17.22787603127167,173.33094596862793,17.194625137726444,260.01435446739197,17.157024496676932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20,2,1800.2726933956146,17.58517242911392,15.874436855316162,17.59800799454448,760.1187460422516,17.58517242911392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20,2,1800.4935417175293,17.656111862854473,8.633758544921875,17.656113536227576,143.52712893486023,17.65611278779191,160.6181800365448,17.656111874969813,186.46987748146057,17.656111862854473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20,2,1800.800457239151,18.82802417845461,4.780729055404663,18.828026258211352,114.58381247520447,18.828025353476512,186.67311573028564,18.828024525183274,1195.8094880580902,18.82802417845461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20,2,1800.5568914413452,17.23095610470517,13.338520526885986,17.811273452594357,20.82693910598755,17.60421862177251,43.175537109375,17.236573456594677,67.71278214454651,17.23095610470517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20,2,1801.058958530426,20.341048973981685,73.58897018432617,20.6841057727587,616.7188777923584,20.583370673123426,902.0409808158875,20.550662584869666,1375.9932689666748,20.541846658059953,1692.3156819343567,20.341048973981685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
