inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21,time_22,obj_22,time_23,obj_23,time_24,obj_24,time_25,obj_25,time_26,obj_26,time_27,obj_27,time_28,obj_28,time_29,obj_29,time_30,obj_30,time_31,obj_31,time_32,obj_32
11,10,6,6,5,5,2,1800.1418392658234,-2.9901040085420307,1.0792195796966553,-1.5490648680441226,1.739457607269287,-2.632664366253478,4.30530309677124,-2.632664366253478,8.467130422592163,-2.7292118487720356,15.297966241836548,-2.7658905384096615,37.0791015625,-2.8030102524082308,50.149829149246216,-2.845140446807239,53.094648599624634,-2.8592627141692475,77.47604751586914,-2.8622672752239304,172.48004961013794,-2.8815998212951524,197.24356031417847,-2.9547256047930293,241.2454981803894,-2.9547752802526337,272.62146258354187,-2.9688681641662202,432.84724521636963,-2.9705768963317305,1050.6159415245056,-2.9708299603936843,1250.4370648860931,-2.9770727336521032,1616.6946437358856,-2.9901040085420307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10,6,6,5,5,2,1800.0399816036224,-3.5589004946579026,1.0263705253601074,-2.204102490629807,1.3745331764221191,-2.236258256295449,2.4416425228118896,-2.3905276995108538,3.0760366916656494,-2.3905276995108538,4.043228387832642,-2.851884049684515,6.2091639041900635,-3.193140603836265,8.140729427337646,-3.232227942877359,10.553585767745972,-3.321956556397534,40.940067529678345,-3.3492820962681074,49.940499782562256,-3.378746467768905,74.3603880405426,-3.4703347772324737,118.09112095832825,-3.5053090699342815,838.6524670124054,-3.508807728625649,1047.877100944519,-3.530112059258384,1177.1684398651123,-3.5589004946579026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10,6,6,5,5,2,1800.032765865326,-3.4364257950219366,1.157430648803711,-2.3650689965569205,3.800743818283081,-2.3650689965569205,5.060151815414429,-2.416076590827966,6.626251459121704,-2.557565570100765,8.618702173233032,-2.7667761704474163,12.096647262573242,-2.778901361064712,13.973554372787476,-3.0679838914552193,26.844183444976807,-3.117300353956698,34.158631801605225,-3.2541512712237664,47.74129366874695,-3.2692243271021537,105.91278505325317,-3.301192508201508,189.1369845867157,-3.334791030111257,372.9578492641449,-3.341112495231088,528.7194423675537,-3.3806098980408423,1330.3619990348816,-3.381538935842727,1461.9854307174683,-3.3939432020241544,1510.0908739566803,-3.4364257950219366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,6,6,5,5,2,1800.0504939556122,-2.60393135736923,0.9417121410369873,-1.5439683376003814,2.1294105052948,-2.0872281413433322,3.003145456314087,-2.0872281413433322,6.048307657241821,-2.144641723828527,9.343858242034912,-2.2383564686325856,12.154127836227417,-2.2999312270205388,17.876100063323975,-2.312010057811047,20.98724627494812,-2.3792205033989418,22.644771099090576,-2.3955610427816434,32.97998356819153,-2.5214831501430526,405.17681193351746,-2.566900950888536,569.9404010772705,-2.60393135736923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,6,6,5,5,2,1800.2165496349335,-4.123303762952155,1.8512616157531738,-3.261552171762762,2.980203151702881,-3.664563383212614,4.339625835418701,-3.664563383212614,9.488466024398804,-3.756844029118243,31.610721111297607,-3.880333520281148,35.29676628112793,-3.8899771301880333,46.502071380615234,-3.9501734598678624,244.02506589889526,-3.960194266071401,289.4042167663574,-3.9638959237975175,340.15292096138,-3.997718495709896,364.48473596572876,-4.03286577189277,394.79723620414734,-4.043418809625546,544.4924037456512,-4.073808956505073,1229.8124673366547,-4.123303762952155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10,6,6,5,5,2,1800.4512453079224,-3.7241024132583482,1.7230827808380127,-2.471159696844096,4.531336545944214,-2.718546585393983,6.051446914672852,-2.718546585393983,13.318791151046753,-3.015383382500419,18.774343729019165,-3.0194502074115843,19.18906044960022,-3.059850921608575,20.548595666885376,-3.172291992723619,25.631096363067627,-3.2218063059232223,38.32953405380249,-3.274095044755171,42.924376010894775,-3.275143996461048,44.12327265739441,-3.4217222606024595,69.21946144104004,-3.596969392710011,220.11373233795166,-3.6613147081329336,330.25117540359497,-3.7143019288077634,1779.3129019737244,-3.7241024132583482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10,6,6,5,5,2,1800.0890476703644,-2.9816021318622368,1.3997251987457275,-2.5910480092539823,3.5166027545928955,-2.5910480092539823,7.0592615604400635,-2.6146586974780055,8.185998678207397,-2.798198910589549,99.479816198349,-2.861714688129732,259.77988862991333,-2.965339521825589,862.6799063682556,-2.9816021318622368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,6,6,5,5,2,1800.101928949356,-3.6828354346251646,2.4312942028045654,-2.0752519152738564,3.432206153869629,-2.899489548873129,5.661767959594727,-2.9951890553119833,5.661916971206665,-2.9951890553119833,6.842374563217163,-3.2332101643043294,8.13138723373413,-3.236241118492651,25.089417934417725,-3.302808789911688,38.3980028629303,-3.3155384496052034,43.37519860267639,-3.3941342000773793,79.17882418632507,-3.545263153240665,158.71481323242188,-3.5546363013557514,264.7731258869171,-3.5701841043750386,327.90992164611816,-3.590051113828232,515.5037240982056,-3.606730687868869,590.5665874481201,-3.6165282124024007,732.5796604156494,-3.6387596176962003,981.2108402252197,-3.6606870006793724,1389.1213564872742,-3.6759398871830506,1731.079785823822,-3.6828354346251646,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,6,6,5,5,2,1800.1702189445496,-3.4156646815213247,1.2392420768737793,-1.948831979185716,1.9095945358276367,-2.2581445500528026,2.563016653060913,-2.7780324378400385,5.41260027885437,-2.7780324378400385,7.7750632762908936,-2.8508385552350672,9.563041925430298,-2.902232998249845,23.407599210739136,-3.007448215893968,35.11628723144531,-3.0372425948458543,38.787062644958496,-3.386319892753624,165.55435228347778,-3.408696179839172,632.2032504081726,-3.4156646815213247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,6,6,5,5,2,1800.1226150989532,-4.275669727213663,1.2667443752288818,-3.170227715278501,2.197402238845825,-3.7095489755940885,4.547253131866455,-3.7095489755940885,12.664025783538818,-3.7342554535130263,15.18495798110962,-4.0527851435498965,20.586261749267578,-4.075758583779817,23.415881633758545,-4.082277957157011,59.763991832733154,-4.106637049748835,168.82261276245117,-4.16369359942002,174.1635217666626,-4.236085853184235,520.6865944862366,-4.248922167535011,672.2068362236023,-4.265048603521402,1746.2639119625092,-4.275669727213663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
