inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21,time_22,obj_22,time_23,obj_23,time_24,obj_24,time_25,obj_25,time_26,obj_26,time_27,obj_27,time_28,obj_28,time_29,obj_29,time_30,obj_30,time_31,obj_31,time_32,obj_32,time_33,obj_33,time_34,obj_34,time_35,obj_35,time_36,obj_36,time_37,obj_37,time_38,obj_38,time_39,obj_39,time_40,obj_40,time_41,obj_41,time_42,obj_42,time_43,obj_43,time_44,obj_44,time_45,obj_45,time_46,obj_46,time_47,obj_47,time_48,obj_48,time_49,obj_49,time_50,obj_50,time_51,obj_51,time_52,obj_52,time_53,obj_53,time_54,obj_54,time_55,obj_55,time_56,obj_56,time_57,obj_57,time_58,obj_58,time_59,obj_59,time_60,obj_60,time_61,obj_61,time_62,obj_62,time_63,obj_63,time_64,obj_64
11,10,3,3,40,5,1,1800.182796239853,-2.7297656677195463,1.3726847171783447,-2.33575963876435,2.937958002090454,-2.33575963876435,4.499065637588501,-2.4297913196374843,6.013729572296143,-2.5769436836943203,8.126169443130493,-2.5926202886363514,17.581809997558594,-2.5962696384064428,18.348857402801514,-2.5971531051910923,32.96371412277222,-2.598041538643881,34.87775659561157,-2.606765543664974,52.14328122138977,-2.609920934964397,67.91846656799316,-2.6160466356122227,68.06000661849976,-2.6388950859583504,78.57884526252747,-2.663504095049202,106.07973289489746,-2.6743182005849087,114.80315661430359,-2.680929680568435,138.09696221351624,-2.689279657233905,153.17802786827087,-2.6894517851725253,172.48706650733948,-2.7090715172709117,273.73117780685425,-2.713508711421386,277.46827816963196,-2.7170953654845436,329.39345955848694,-2.7186225114491864,331.26840686798096,-2.7189472808754926,339.61105155944824,-2.7205551227559948,349.1421420574188,-2.721535823867128,499.164386510849,-2.7216045761908303,535.5649404525757,-2.721656790228512,538.5961482524872,-2.7216743248743542,588.5756390094757,-2.721755656795647,657.0415654182434,-2.721772388321184,760.1700377464294,-2.7220964729566064,810.5802240371704,-2.7221544679625986,854.2946124076843,-2.7223705029528094,946.026111125946,-2.722399707073205,1150.0258495807648,-2.7224180631722716,1172.9556455612183,-2.7224525949929945,1198.054485321045,-2.7224572305364307,1251.734610080719,-2.7224605554966326,1260.644183397293,-2.7290939768096054,1329.0276248455048,-2.729313178239559,1438.1781182289124,-2.729662769645343,1482.1617319583893,-2.72971824455513,1686.4293344020844,-2.7297656677195463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10,3,3,40,5,1,1800.0222985744476,-3.2218475802117883,2.23327898979187,-2.7225030782134345,4.615536212921143,-2.7225030782134345,9.633768558502197,-2.815975064716277,9.877626657485962,-2.8165702825972185,10.870705842971802,-2.817197941016872,11.297561645507812,-2.817359123271886,11.62061619758606,-2.8173824512369974,13.967381000518799,-2.968551076992252,21.988484859466553,-2.999678129310374,22.234660863876343,-3.067156354766217,43.85621118545532,-3.077330827154753,54.324349880218506,-3.0846411522021357,74.54082155227661,-3.105103753127683,75.18192625045776,-3.108938448879467,106.02335381507874,-3.131677121044132,126.54032182693481,-3.1397312427814565,163.2829384803772,-3.143315424761349,182.29362964630127,-3.1566191217873536,226.02278470993042,-3.1952565880204866,260.0759046077728,-3.2138000734408942,1710.3192896842957,-3.2166341794643984,1736.3539860248566,-3.2218475802117883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10,3,3,40,5,1,1800.1866145133972,-3.118633935813155,0.6866085529327393,-1.669376646419061,1.5188684463500977,-2.4736152729853114,3.0747835636138916,-2.4736152729853114,4.942906379699707,-2.512812873499146,7.248389005661011,-2.5994046898310406,7.866635322570801,-2.8138066680140614,7.982664108276367,-2.926875880998499,12.353534698486328,-2.9312130796465796,13.651236295700073,-2.935084149144055,19.431848764419556,-2.9411163018317747,25.91867709159851,-2.9635954064318724,37.94119119644165,-3.0078845080032113,47.87717819213867,-3.0083958100650237,56.96200442314148,-3.0098626102244674,92.65943098068237,-3.0153689612274324,104.13994264602661,-3.0248679263445695,108.91853332519531,-3.026009206053659,136.66892313957214,-3.0272081163760247,138.11355638504028,-3.0282598428324596,330.8627016544342,-3.0288067153809015,353.4258031845093,-3.0333565200512216,397.27235293388367,-3.0338256025008015,416.97564363479614,-3.0341442940150882,511.0209069252014,-3.0409905525128655,535.008031129837,-3.0841201649096597,574.403169631958,-3.0997931059103148,644.130307674408,-3.1019266172644486,647.9905741214752,-3.107279770232887,657.2196259498596,-3.116703376441835,685.455296754837,-3.116777804302833,703.5383503437042,-3.118463049415731,714.022472858429,-3.1185075078765045,756.6411035060883,-3.118535848644298,759.0477204322815,-3.1185484590504005,808.1138050556183,-3.118633935813155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,3,3,40,5,1,1800.0216600894928,-2.2888877434109425,0.6653921604156494,-1.8322942477995021,1.8105263710021973,-1.9369305011767073,2.0005950927734375,-1.9369305011767073,3.5097835063934326,-1.9440387771453078,5.668559789657593,-2.0807618896743967,10.006666660308838,-2.130616842787604,39.84150314331055,-2.1337198798051413,47.17797660827637,-2.1722452307315376,79.15064144134521,-2.201992083090601,179.00756907463074,-2.265077981797493,192.87120151519775,-2.279686891460879,200.37274742126465,-2.2806271757378562,213.88413667678833,-2.281514376572016,232.9884135723114,-2.2844737345863755,253.86500930786133,-2.2844837365858077,271.87424898147583,-2.2846448481731607,294.4585041999817,-2.2849383109602392,578.50062251091,-2.284975562041546,605.0367181301117,-2.2850239134921484,654.7689385414124,-2.285059464997918,677.9597616195679,-2.286250145492019,683.3648030757904,-2.2863259509961744,735.1047616004944,-2.2863919762160876,838.5247452259064,-2.2864494829857236,914.5649178028107,-2.2868377024911983,1025.0942449569702,-2.2878261721669424,1163.237930059433,-2.2881182462200162,1203.0687074661255,-2.288191635406266,1338.6573567390442,-2.288366426301632,1340.3597795963287,-2.288376689677073,1348.3779697418213,-2.2883768799986917,1385.8057742118835,-2.288487825777464,1417.4932436943054,-2.288528372140383,1464.4584081172943,-2.2886870747045114,1558.3185153007507,-2.2886995478893875,1619.1071472167969,-2.28874392137545,1631.8647766113281,-2.288747091772094,1644.1888585090637,-2.2887548334515437,1647.740751028061,-2.2887736546254804,1678.2074086666107,-2.2888091517587816,1718.3491888046265,-2.2888099211910875,1736.8601632118225,-2.2888162864923474,1737.8287243843079,-2.2888197603222404,1739.7855653762817,-2.2888227759229784,1743.8714981079102,-2.2888284427209857,1772.2979822158813,-2.2888877434109425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,3,3,40,5,1,1800.0071098804474,-3.7454825233901743,0.9852108955383301,-2.884080619268104,1.7858939170837402,-3.144477942542423,2.63061785697937,-3.2350610321359454,3.516521453857422,-3.2350610321359454,14.558693408966064,-3.235061089032158,16.16676616668701,-3.291826771797916,17.07952380180359,-3.314002624679101,31.11224865913391,-3.41147402181419,33.17295265197754,-3.46827729802686,43.434428691864014,-3.5425922337518503,77.42396116256714,-3.543388111207242,115.80006909370422,-3.545322661750657,126.40508198738098,-3.6185072319985974,184.58568024635315,-3.6233809034390325,197.32845950126648,-3.623631971180573,208.25892210006714,-3.623690837909388,209.80098009109497,-3.624022465644089,213.21442675590515,-3.625767254000115,227.2966594696045,-3.631167409540149,236.91037440299988,-3.6316312671592192,267.0746076107025,-3.6404762343144212,288.29120802879333,-3.641133275557168,323.3768572807312,-3.647195615334667,344.5246841907501,-3.655961830083825,357.94960927963257,-3.6627183212049634,362.8380331993103,-3.675807096683562,375.9903452396393,-3.6767291139073306,391.93784523010254,-3.6870161685633294,479.56969714164734,-3.6926584695840976,586.2050452232361,-3.6931256285202405,598.1948113441467,-3.726874941725789,1495.3504831790924,-3.7373726473034754,1579.9764893054962,-3.744456724751758,1608.1005296707153,-3.7450308381459116,1646.7822217941284,-3.7454825233901743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10,3,3,40,5,1,1800.243679523468,-3.347352138421848,1.296898365020752,-2.756424719548712,3.9836108684539795,-2.778287085284506,6.45772910118103,-2.8103113105823634,6.457805633544922,-2.8103113105823634,8.213730335235596,-2.9223203473186445,10.584415674209595,-3.0760719239691428,15.596466541290283,-3.142699691212694,21.259772300720215,-3.1613400250402446,27.601449728012085,-3.2201669861788313,29.45394277572632,-3.234240098202372,52.58511424064636,-3.2385432571029438,59.86750912666321,-3.2398751569209745,86.82990407943726,-3.249842196988769,105.48685359954834,-3.2604088127242474,118.85889983177185,-3.260556600378423,128.63604021072388,-3.26096453468038,139.39648365974426,-3.261414267023192,141.22169470787048,-3.2614371765108383,152.84629201889038,-3.261655558849914,159.99555253982544,-3.2617124749345496,197.3467333316803,-3.300354317197129,242.4187879562378,-3.306731431601872,434.6789708137512,-3.3184701354185737,747.473112821579,-3.324742640395576,960.3877203464508,-3.328596775057687,1302.2749156951904,-3.343826573329924,1388.4992113113403,-3.347352138421848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10,3,3,40,5,1,1800.1712291240692,-2.621168349649874,0.8040366172790527,-2.3661515565044673,3.213127374649048,-2.3661515565044673,24.87810230255127,-2.373068852687398,32.412750244140625,-2.4728455403910297,39.132049798965454,-2.521836441989495,44.82535266876221,-2.5218837739903224,49.28462862968445,-2.5409646342338337,53.15894389152527,-2.55124372867336,78.57143497467041,-2.564148702866615,91.8271586894989,-2.566769560907046,100.12008690834045,-2.5921729620261855,169.55972599983215,-2.6092779618523685,350.95154428482056,-2.613123976816292,511.789186000824,-2.614002624135255,724.1064264774323,-2.621168349649874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,3,3,40,5,1,1800.1281642913818,-3.215548847175843,0.9752476215362549,-2.503414925880276,2.118025779724121,-2.75884927912208,3.9865739345550537,-2.75884927912208,9.554943084716797,-2.799788687311831,15.872400999069214,-2.813806415320304,17.232969999313354,-2.81924728683911,18.790857791900635,-2.823718923872879,19.65475368499756,-2.889809539178486,39.28999328613281,-2.9497703671209736,97.7986536026001,-2.9757770984827814,138.37039732933044,-2.9866190085928155,814.697493314743,-2.999193180405399,1095.253933429718,-3.053788191513648,1115.8414914608002,-3.0668177173015425,1156.6707201004028,-3.1124545359836864,1165.5601925849915,-3.120702421644661,1227.5027174949646,-3.129971682863422,1372.0806031227112,-3.1569982631779245,1704.0831491947174,-3.170265057579439,1717.338928937912,-3.183209011291194,1763.9600932598114,-3.19457681929927,1771.279449224472,-3.213420326064807,1783.775902748108,-3.2136860810549104,1796.3686621189117,-3.215548847175843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,3,3,40,5,1,1800.219839334488,-3.1289033194724025,0.8233954906463623,-2.8229920886818456,2.9618544578552246,-2.8229920886818456,7.606540679931641,-2.8927960941757447,18.707987070083618,-2.895900815658665,25.14959740638733,-2.8967517358162356,26.637213706970215,-2.903927123788383,53.84020161628723,-2.9139928100948445,57.7765052318573,-2.923248726393235,70.26373958587646,-2.9493627753121467,120.41406226158142,-2.960078300216418,140.55276322364807,-2.977105914320933,153.22914862632751,-2.9797928616247757,158.70881271362305,-2.9799075521121106,172.7469823360443,-2.9800102596865266,212.91073989868164,-2.980567299076439,214.3534619808197,-2.980719239019676,219.29405736923218,-2.989528814981662,232.0613579750061,-2.989552084113606,236.72029423713684,-2.990241914714236,236.9917483329773,-2.990344355918412,240.9245743751526,-2.9904006022153946,270.5686228275299,-2.9905751961687947,312.01902961730957,-3.0354977158849445,359.21977043151855,-3.0842633498922645,362.00680923461914,-3.093539064718346,368.42875838279724,-3.0950337569224113,417.8314518928528,-3.108867085311811,424.5926568508148,-3.119262223493999,430.24241971969604,-3.120445850400924,447.94300842285156,-3.120528513884807,460.51827120780945,-3.1207392661209803,466.0938174724579,-3.1208529037202886,476.10979747772217,-3.1210153301740733,479.24360370635986,-3.1210348520251205,482.67103600502014,-3.1223935025568235,602.1451523303986,-3.122498445783004,606.2130210399628,-3.122562048588891,623.861709356308,-3.1225817301613774,640.5525000095367,-3.1225901185040645,687.7497534751892,-3.122591015734126,714.3670017719269,-3.1228500770909897,835.2841658592224,-3.124809117519655,920.4047653675079,-3.124899827285076,923.9756491184235,-3.1250575583944444,947.1077516078949,-3.126112716115462,987.2311522960663,-3.126506173954792,1019.2857835292816,-3.1273347602959847,1023.0359582901001,-3.127339672146516,1148.0716087818146,-3.1273603075593277,1204.9834079742432,-3.1278799990210606,1529.5480406284332,-3.1289033194724025,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,3,3,40,5,1,1800.0650169849396,-3.9054376796027435,1.2221839427947998,-3.1374854773670546,2.706108331680298,-3.1374854773670546,6.627044200897217,-3.411889434776959,10.526924848556519,-3.4199776632540866,16.665985345840454,-3.424350516965457,24.98252820968628,-3.5708194777029365,36.55764627456665,-3.5738024458987283,38.626553535461426,-3.5886958348495575,150.0002772808075,-3.7317961210117967,162.73379015922546,-3.751793602562564,173.23708987236023,-3.780103419079301,227.45287466049194,-3.7801899282101163,258.2715697288513,-3.7906156188670015,304.29565143585205,-3.798754291643725,345.47436332702637,-3.8185698187889887,498.88691234588623,-3.8472861108312393,761.5373980998993,-3.8498429663722127,944.1757371425629,-3.8705350350603074,1024.0603094100952,-3.8878356007370054,1233.4707021713257,-3.8923592004345466,1358.7292957305908,-3.9013110093734094,1574.0806093215942,-3.9039642297970745,1772.2987558841705,-3.9054376796027435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
