inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21,time_22,obj_22,time_23,obj_23,time_24,obj_24,time_25,obj_25,time_26,obj_26,time_27,obj_27,time_28,obj_28,time_29,obj_29,time_30,obj_30,time_31,obj_31,time_32,obj_32,time_33,obj_33,time_34,obj_34,time_35,obj_35,time_36,obj_36,time_37,obj_37,time_38,obj_38,time_39,obj_39,time_40,obj_40,time_41,obj_41,time_42,obj_42,time_43,obj_43,time_44,obj_44,time_45,obj_45,time_46,obj_46,time_47,obj_47,time_48,obj_48,time_49,obj_49,time_50,obj_50,time_51,obj_51,time_52,obj_52,time_53,obj_53,time_54,obj_54,time_55,obj_55,time_56,obj_56,time_57,obj_57
1,10,2,81.27636313438416,-2.0372072350717714,0.38165950775146484,-1.7664826449141071,0.927839994430542,-1.7891520991184546,1.7653658390045166,-1.8020378232147336,1.8786592483520508,-1.8787501006165406,2.7503345012664795,-1.9054693529564983,5.114842891693115,-1.9713223850077268,7.487943410873413,-1.9913096298653041,10.493269920349121,-2.01337511993665,10.947522163391113,-2.028919595247831,12.60953140258789,-2.029448953837554,13.036986112594604,-2.0296266751200425,14.996118545532227,-2.0308722872183016,20.05886435508728,-2.037055096731808,20.31291627883911,-2.037144561477825,29.470791816711426,-2.037180158173807,47.72932982444763,-2.0372072350717714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,2,79.33370566368103,-2.697415059223529,0.18166399002075195,-1.6750478260883537,0.49053478240966797,-2.479866783422265,0.8215060234069824,-2.493614784416514,0.9315588474273682,-2.4939335811859245,1.682056188583374,-2.4983929378853453,2.826329231262207,-2.5623116094033507,2.882727861404419,-2.565129112751383,4.446979761123657,-2.652059095571731,6.1169068813323975,-2.6764225637904784,15.749679327011108,-2.679042480696656,18.551279544830322,-2.68942696667261,22.5626802444458,-2.6943691990322773,25.808515071868896,-2.695858739717389,25.92455816268921,-2.6959918430444105,26.212125301361084,-2.696013260888471,40.63729500770569,-2.6960206013846055,42.28280591964722,-2.6973265443161143,53.84240198135376,-2.697415059223529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,2,82.8861939907074,-3.017805834589704,0.2710287570953369,-2.6074565383307413,0.5334682464599609,-2.762551086359877,1.4145698547363281,-2.810520762715621,2.544346570968628,-2.8108033437716107,3.2768497467041016,-2.8600206842251783,3.661505699157715,-2.885486890155309,4.249802827835083,-2.9559693832336,9.728501558303833,-3.0107491674922517,11.829772472381592,-3.0165762161144007,13.627273559570312,-3.0171910013649708,16.312961101531982,-3.0174516067454156,24.257891178131104,-3.0177437580582978,40.64564561843872,-3.0177738397153506,51.373400926589966,-3.017791734952668,70.33917951583862,-3.017805834589704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,2,45.23958611488342,-2.300651260068761,0.3996260166168213,-1.929617766643271,0.7764256000518799,-1.9470994133575357,1.4499974250793457,-1.9484488031196143,2.898409605026245,-2.124164907112512,3.7998557090759277,-2.1459714736603472,5.968912839889526,-2.150846168817416,8.791802644729614,-2.169421171458999,10.554034948348999,-2.1892519578978726,13.340609788894653,-2.213649410580473,14.211491346359253,-2.226575855580514,14.348690509796143,-2.240206827000356,15.566146612167358,-2.287592155447556,16.0651798248291,-2.290655264207389,17.435916423797607,-2.2964151631487137,20.588478565216064,-2.299726948416145,21.591012716293335,-2.300107778514359,22.132619857788086,-2.3004512796082923,28.965290784835815,-2.300509042117161,29.719732999801636,-2.300579775567652,32.42181134223938,-2.3006268690093865,33.99466300010681,-2.300651260068761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,2,146.22750306129456,-3.3227471955435357,0.1829357147216797,-2.6514322700197517,0.39728856086730957,-2.840341583582466,0.8763566017150879,-3.1177821123478813,1.3887016773223877,-3.170060180931478,1.8981869220733643,-3.214197652911569,3.2800588607788086,-3.2552580578351327,6.304694652557373,-3.319971254095682,16.152953386306763,-3.322523767090588,50.25013852119446,-3.322553021461022,59.19767642021179,-3.322737754901145,101.18601751327515,-3.3227471955435357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,2,47.3707480430603,-3.287850489250798,0.20656132698059082,-2.582807717924699,0.3550586700439453,-2.6605730489042,0.700035572052002,-2.85728692102341,0.8080399036407471,-2.9693656510086925,0.9413132667541504,-3.0349057228522827,1.7546322345733643,-3.065123532868453,2.486346960067749,-3.1046523539058803,3.822984457015991,-3.1547613232080196,5.738613605499268,-3.1843757272890496,6.351402282714844,-3.1844901323136288,9.402766466140747,-3.1878843890125537,10.963350772857666,-3.266970302238464,13.509977340698242,-3.2838340761433895,16.332005500793457,-3.2873561360714594,23.52798366546631,-3.2876712206125274,28.73022437095642,-3.2877472611909693,34.3444664478302,-3.287808070112842,37.67308282852173,-3.2878399837253434,44.760002851486206,-3.287850489250798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,2,153.45853281021118,-2.2816095091384536,0.30983400344848633,-1.89636431994276,0.6527183055877686,-1.8991390195161388,0.9265327453613281,-1.9172786862390776,1.2671923637390137,-1.9329265824276314,2.2369720935821533,-2.0823291723350237,2.9734833240509033,-2.164306125922704,4.687188625335693,-2.165069494371105,5.282514333724976,-2.174545294110108,5.618969202041626,-2.1870726393980293,7.339002370834351,-2.187081631374798,7.669251203536987,-2.18708995362452,11.35829472541809,-2.1880043481788394,15.477767944335938,-2.2009069504588297,16.044713497161865,-2.2458713566321196,65.90600538253784,-2.2778191594540607,69.61713242530823,-2.2787971248076584,72.64298582077026,-2.278865325468356,73.99843454360962,-2.281360667290461,75.0159981250763,-2.2814092293696597,79.0367078781128,-2.281468548642886,79.66590023040771,-2.2815714564957417,114.00991082191467,-2.2816006888417535,150.9156310558319,-2.2816095091384536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,2,84.02412533760071,-3.0433410650336232,0.2668642997741699,-2.4923230689177736,0.5063812732696533,-2.8539371452203195,1.3126497268676758,-2.9140111155793584,1.6195402145385742,-2.966394715094642,2.7054550647735596,-3.0348846951309913,3.345796585083008,-3.0355489240556497,3.454516649246216,-3.0356222888709326,6.218918323516846,-3.0357036039787193,25.118537187576294,-3.0418618405916455,28.78573250770569,-3.0423095792190677,34.01067495346069,-3.0423230704126385,51.223653078079224,-3.0424154886067356,51.87592577934265,-3.0425564101210063,53.84338426589966,-3.043255949312916,62.10825061798096,-3.0432709021346422,65.45130324363708,-3.0432790500251,66.24179792404175,-3.0433001454002606,66.53944063186646,-3.0433394751935894,78.51794004440308,-3.0433410650336232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,2,74.54227542877197,-2.551532598909592,0.2794184684753418,-2.220537182411205,2.7026286125183105,-2.319951665035722,3.0173373222351074,-2.5499383243635667,4.972484588623047,-2.551296787127794,13.445056676864624,-2.551416776894932,15.242133855819702,-2.5515279700382654,46.72217845916748,-2.551532598909592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,2,18.359980583190918,-2.300201981203291,0.2972545623779297,-1.7569812212637603,0.469127893447876,-1.988389919207402,1.4974339008331299,-2.0800540172911743,1.8825252056121826,-2.226386819997883,4.127227783203125,-2.2517811582294134,5.600382089614868,-2.2643139493446687,8.0028977394104,-2.2721713964249304,8.354821920394897,-2.272193314277452,8.487375259399414,-2.2722172118038615,8.854097127914429,-2.2724281181809443,9.370839357376099,-2.2724527033019664,14.105397701263428,-2.29190321465293,16.865861892700195,-2.298985817151191,17.12900948524475,-2.300201981203291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,2,99.19898962974548,-2.322863875370659,0.29799437522888184,-1.4428751561242814,0.5263988971710205,-1.893369654260595,0.9484739303588867,-2.0503356768728676,1.408062219619751,-2.0543375463854416,1.6836261749267578,-2.126846406017496,1.994145154953003,-2.144596224860429,2.3232507705688477,-2.1450871301207064,2.8033359050750732,-2.209557837965275,4.180238246917725,-2.256198478805534,4.968284845352173,-2.2702524542617843,6.882000923156738,-2.310923914344467,13.19193148612976,-2.322863875370659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10,2,86.16705989837646,-2.7316474065202128,1.2239253520965576,-1.7063785278406396,2.033843994140625,-2.6380761566376183,2.198425769805908,-2.6472345203814207,3.209545850753784,-2.6735660018653404,10.961951494216919,-2.6769608282649235,11.735194444656372,-2.6774620688316366,12.566297769546509,-2.684386576744734,19.312696933746338,-2.695968390550803,27.49983525276184,-2.709424744549973,28.577579259872437,-2.7094836067937966,33.499799728393555,-2.7096203047572547,41.470274209976196,-2.7096994760579625,51.84915280342102,-2.719193150400368,55.41726016998291,-2.723183140345117,60.60521388053894,-2.73055316119514,62.13402533531189,-2.73078032526749,62.96525287628174,-2.7313595333258758,64.50176286697388,-2.731550903575069,71.6945149898529,-2.7316474065202128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10,2,33.68388533592224,-2.6439644764593786,0.33788108825683594,-2.2660136080251285,0.7558519840240479,-2.4484537126195507,2.246575117111206,-2.450342783859025,2.4267399311065674,-2.4732394535077105,3.825653314590454,-2.5758659681751728,5.669748544692993,-2.5864885026252793,8.144582271575928,-2.6080685117151345,10.787450790405273,-2.624575373314057,13.270995378494263,-2.6435807503972253,18.516016960144043,-2.64380607647559,22.107360363006592,-2.6439644764593786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,2,18.045398235321045,-1.9800283635519118,0.26323437690734863,-1.5267129653875056,0.8292522430419922,-1.8208947708453056,0.9216368198394775,-1.8499305215504531,1.4354379177093506,-1.8681383199569421,3.328925371170044,-1.8802976475949327,4.065378189086914,-1.8803312985580916,4.150272607803345,-1.8803682574402338,4.708390235900879,-1.922150845367703,7.485490798950195,-1.9575608803851277,8.395507335662842,-1.973669300757896,11.76850152015686,-1.9760988290362038,13.144953489303589,-1.9771300698792562,13.676526546478271,-1.9788070563497966,14.037178993225098,-1.9795285612718418,15.07270884513855,-1.979877150177635,15.900884628295898,-1.9799537632450528,16.393038749694824,-1.9799752683313308,16.565351963043213,-1.979994745608954,17.33810043334961,-1.9800006158121426,17.670130252838135,-1.9800137437528802,17.958208322525024,-1.9800282384632655,18.045286178588867,-1.9800283635519118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,2,122.89768671989441,-3.1889301717491234,0.30589842796325684,-2.5612432778469545,0.4480857849121094,-2.595729703331034,0.8813259601593018,-2.82194905845915,1.056422233581543,-2.962003167751631,2.3651976585388184,-3.0809737115802296,6.296166658401489,-3.1162329971040905,11.662180423736572,-3.1381713681057386,13.40079665184021,-3.159108192784265,13.612775802612305,-3.160870861926481,27.218058109283447,-3.1630938569693496,39.18483781814575,-3.1645119441508682,40.641366481781006,-3.169874479669891,56.842912673950195,-3.1760649237115626,77.88219690322876,-3.1887671512677307,81.9404788017273,-3.188794901521818,82.74026679992676,-3.1888943172047672,122.7130196094513,-3.1889301717491234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10,2,367.994416475296,-2.830426171055036,0.45783352851867676,-2.5006432864034216,0.7404568195343018,-2.629164727506326,0.9627737998962402,-2.62933624128515,1.217712640762329,-2.632043178220008,1.9235608577728271,-2.6420907182027835,2.3975791931152344,-2.6951638216165668,2.5745270252227783,-2.7352822953932896,3.729261636734009,-2.738969437280232,4.864731788635254,-2.7589217275193483,5.173300266265869,-2.830117072306021,7.01677393913269,-2.8303096586156955,22.321051597595215,-2.8303623451315594,23.717072248458862,-2.8304033198536738,286.64732694625854,-2.8304118267625684,332.37346506118774,-2.830426171055036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10,2,202.47683930397034,-2.221930189422522,0.2730214595794678,-1.753138463234082,0.9935390949249268,-2.0734031692093335,2.7300710678100586,-2.091968050097635,3.322589159011841,-2.151080263415551,4.4482550621032715,-2.18425189125427,14.850087642669678,-2.1880980951318456,19.931246519088745,-2.188131230823312,32.60785913467407,-2.1890630706048895,40.165074586868286,-2.1900041744456735,40.4302875995636,-2.190147682494901,52.232500076293945,-2.211676623654051,59.759992361068726,-2.216318504934704,71.69205975532532,-2.2195776413271715,81.10668396949768,-2.2202180581025055,81.46006846427917,-2.221551338944333,115.38340640068054,-2.2215785721578634,129.13465023040771,-2.2217433478801953,139.96928215026855,-2.221828693126904,142.04922771453857,-2.2218653685728555,164.59727382659912,-2.2218820050893977,196.72196292877197,-2.221930189422522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,2,319.93514370918274,-2.802478786835433,0.2681713104248047,-1.7387158887354057,0.48862147331237793,-2.3479587847367056,0.5590207576751709,-2.4981901767091657,0.9758718013763428,-2.6235311315219407,1.3719568252563477,-2.6489824530962345,1.6847035884857178,-2.6567178838246592,2.3355891704559326,-2.7263626610875136,2.7211594581604004,-2.7379848308163997,6.2771196365356445,-2.7388132292238767,9.511945724487305,-2.7540466968998953,36.6293466091156,-2.7884617539065375,99.77142810821533,-2.8013407105465187,105.71532821655273,-2.8020329035800713,110.94911193847656,-2.8020439926980565,123.43136239051819,-2.8023509353646716,151.5576400756836,-2.802371852387778,173.08236169815063,-2.8024160408088004,201.0660560131073,-2.802478786835433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,2,197.86753582954407,-2.633037944180409,0.39728569984436035,-1.6304656631193457,2.249042272567749,-2.3856655793840433,3.321857452392578,-2.3858373948570812,3.9339447021484375,-2.5345467715035395,5.084482192993164,-2.5442470454707866,5.643937349319458,-2.544683300156416,6.500696182250977,-2.5519952907084633,10.00145173072815,-2.607488152563325,13.622083902359009,-2.607720323779708,13.903268575668335,-2.612480889922114,17.196642637252808,-2.61549300856418,23.667463541030884,-2.621530511863903,47.21590304374695,-2.632801076275179,47.4272084236145,-2.632899673535882,78.59922766685486,-2.6329261618049924,86.36098337173462,-2.633037944180409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,2,231.16179490089417,-3.3746933629340092,0.2113018035888672,-2.1043524886372067,0.462780237197876,-2.6615017202600826,0.700061559677124,-2.976527292522773,1.3496479988098145,-2.990675984257826,2.3180553913116455,-3.300024299880371,8.460715293884277,-3.3020092596203896,15.05064082145691,-3.3460323097171925,17.48837399482727,-3.351618453060265,19.18327522277832,-3.3516677838309765,22.646389484405518,-3.3609781831147463,44.986926555633545,-3.3632850276048134,46.4844651222229,-3.3675413467242907,52.29851198196411,-3.3676294432661558,62.06356739997864,-3.36781858397619,102.12000393867493,-3.3681857846125305,109.2099859714508,-3.3745518226763296,121.45376944541931,-3.374626601050199,126.23259282112122,-3.374638665708373,133.5650236606598,-3.3746569720057233,163.75997114181519,-3.374659348419196,176.07083749771118,-3.3746933629340092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10,2,199.34216618537903,-2.8306657633828354,0.24503231048583984,-1.7914055584351822,1.0830662250518799,-2.4681282951491035,1.3762118816375732,-2.6526850514310034,1.4748742580413818,-2.698295259454581,1.7938964366912842,-2.6988258792304367,3.021240472793579,-2.747759183883939,7.2601094245910645,-2.770210805315057,10.273112535476685,-2.779470142467732,11.32380747795105,-2.7827956822250868,15.793938636779785,-2.793961319856517,37.29120445251465,-2.805013971984557,99.4276077747345,-2.8056961152512985,117.89606952667236,-2.8116894130580095,121.27071452140808,-2.821126864280785,122.42041540145874,-2.822107393986768,140.69409561157227,-2.830043899681527,145.2543170452118,-2.8305748435924616,151.18765354156494,-2.8306250477543515,152.5544171333313,-2.8306526160397723,165.10468339920044,-2.8306657633828354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10,2,108.50951099395752,-2.27775072191657,0.40705275535583496,-1.8552203499619568,0.44951391220092773,-1.855402208829322,0.6484198570251465,-1.8818630916724493,2.0701417922973633,-2.166554271703744,6.3052051067352295,-2.217735494108611,7.051702499389648,-2.23613729551484,24.74597954750061,-2.2569281736032543,25.974572896957397,-2.2584645770186276,32.98228907585144,-2.262960375439255,60.16997933387756,-2.2733813317652016,74.81813764572144,-2.274735051835448,77.16358089447021,-2.27746303614529,100.54070734977722,-2.27757980915427,102.18313407897949,-2.2776593996171823,103.57550382614136,-2.277669530099864,106.82680320739746,-2.2776975362471727,107.10169887542725,-2.27775072191657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10,2,306.7184159755707,-2.9060847508667593,0.42197513580322266,-2.4940522909740883,0.7879624366760254,-2.5060104951655076,1.4906830787658691,-2.571406374193129,2.5158557891845703,-2.6996804314776197,3.2510976791381836,-2.796400164550212,6.323875904083252,-2.888194479962348,25.046892642974854,-2.9054654940630176,118.98812890052795,-2.905821227407448,137.5127341747284,-2.9058785518326444,137.77672910690308,-2.9060204609009053,191.67162418365479,-2.9060315563278207,195.94241881370544,-2.9060592472247455,300.332927942276,-2.9060847508667593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10,2,16.911892652511597,-2.9044453659533653,0.29482412338256836,-2.042876390380328,1.1944048404693604,-2.8689729323229227,2.2927143573760986,-2.881626478162729,5.7808942794799805,-2.903561451045756,6.551555395126343,-2.9041752914703753,6.779305458068848,-2.9043402900887814,8.099453926086426,-2.9043687152333555,10.841665506362915,-2.9044453659533653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,2,342.5381209850311,-2.3383521411650787,0.2411174774169922,-2.043186915785989,0.7831597328186035,-2.1629131826265953,1.2028615474700928,-2.168093664966037,4.49250864982605,-2.233578585624596,9.599913597106934,-2.2550438639161374,10.176940679550171,-2.279687774631424,14.90232539176941,-2.284657317868472,15.89155125617981,-2.3160705416593244,22.228015184402466,-2.3165034659582537,49.71029019355774,-2.3165741625769107,58.12721562385559,-2.3274132732788058,76.41581606864929,-2.3349327450370088,78.39418697357178,-2.3349636483006546,105.4688310623169,-2.3374371077835945,119.18924522399902,-2.3381692428867735,129.4579677581787,-2.3382523322011513,145.64580416679382,-2.3382819985985477,157.4878478050232,-2.3383164462471893,265.59304571151733,-2.3383521411650787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10,2,73.80650186538696,-2.410666272350869,0.21442842483520508,-1.4971417290690208,0.3645176887512207,-1.6982769884812434,0.4789304733276367,-1.7514601515209527,1.0294697284698486,-2.3594935927150216,2.4840433597564697,-2.3652775513749726,4.549216032028198,-2.3661050791176117,5.159154653549194,-2.3704689147931615,5.594240665435791,-2.3705246187196467,7.52163290977478,-2.3706190573818766,7.710689067840576,-2.370638285976727,13.564155578613281,-2.378472354334357,18.139780282974243,-2.3929497115206013,20.636873483657837,-2.3947566505966673,21.253623723983765,-2.3947723998236308,23.64590620994568,-2.3974093644712524,25.638681650161743,-2.3989999569606164,28.0711510181427,-2.4009915913445763,31.87532329559326,-2.402553487614054,33.50334644317627,-2.4059825340885186,34.19880533218384,-2.410666272350869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10,2,127.60524106025696,-2.372097458162117,0.32405829429626465,-1.4765405673265206,1.5813705921173096,-2.200108645323245,1.7111542224884033,-2.2864249672058725,2.5185799598693848,-2.3123246920553746,5.432912588119507,-2.3671973738511687,7.350434064865112,-2.3712647905482953,9.280860424041748,-2.371862787616238,23.340113162994385,-2.371970720407441,44.58367371559143,-2.372097458162117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10,2,229.49511337280273,-3.110328916291072,0.2482767105102539,-2.464802078066217,0.6817154884338379,-2.763592728597838,1.6947813034057617,-2.9695082959362553,2.3114848136901855,-2.9970674367204184,2.633561611175537,-2.997198915151931,2.8075222969055176,-2.9973190239559653,4.832676410675049,-3.013777722299662,5.349596261978149,-3.0174620448000122,7.5395827293396,-3.017941668288934,7.704184532165527,-3.0260807702205286,9.024568796157837,-3.044312316543492,13.9596426486969,-3.0497098272900267,16.853116273880005,-3.057851263017522,19.162001848220825,-3.061788816803594,23.513878345489502,-3.07192519714932,24.950913429260254,-3.082910066785979,42.76085543632507,-3.0963164527772817,42.99583578109741,-3.096352110242144,52.58456993103027,-3.098857229647927,76.27338719367981,-3.1068385710472115,85.14522576332092,-3.1093862259776954,117.81335544586182,-3.109462360603344,118.8821165561676,-3.109979717819992,130.0710253715515,-3.1100308266108962,135.56416606903076,-3.11008640559967,148.87209248542786,-3.1101322854695526,155.60808300971985,-3.110230984689478,161.99778509140015,-3.110257830826797,175.0422706604004,-3.110328916291072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10,2,105.61173629760742,-2.716241100304322,0.4282991886138916,-2.614979288605877,2.371161460876465,-2.707108698383096,3.456571340560913,-2.7092802292091807,4.610767364501953,-2.7130788655413824,6.514049768447876,-2.7135793705697564,21.054275035858154,-2.7136354070532374,44.22763633728027,-2.713751726124913,69.39423394203186,-2.713810049978533,77.76250314712524,-2.713832189792256,88.36062335968018,-2.716241100304322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
